frame,timestamp,time_delta
0,0.058,0.0
1,0.081044,0.023044000000000002
2,0.101144,0.020099999999999993
3,0.123111,0.021967
4,0.142,0.01888899999999999
5,0.163889,0.02188900000000002
6,0.189678,0.025789000000000006
7,0.209633,0.019955
8,0.231578,0.021944999999999992
9,0.259889,0.028310999999999975
10,0.277567,0.017678000000000027
11,0.2983,0.020733
12,0.320056,0.021755999999999998
13,0.3407,0.020643999999999996
14,0.364333,0.023633000000000015
15,0.384678,0.020345000000000002
16,0.405967,0.021289000000000002
17,0.423367,0.01739999999999997
18,0.439244,0.01587700000000003
19,0.457867,0.018623
20,0.474967,0.01709999999999995
21,0.501256,0.026289000000000062
22,0.519833,0.018576999999999955
23,0.540856,0.021023000000000014
24,0.564289,0.023433000000000037
25,0.584667,0.020378000000000007
26,0.607211,0.022543999999999897
27,0.631067,0.0238560000000001
28,0.649644,0.018576999999999955
29,0.674078,0.024433999999999956
30,0.697556,0.023478
31,0.720144,0.022588000000000052
32,0.739889,0.019745000000000013
33,0.756733,0.01684399999999997
34,0.774889,0.01815600000000006
35,0.8012,0.026310999999999973
36,0.8201,0.018900000000000028
37,0.839767,0.01966699999999999
38,0.856444,0.016676999999999942
39,0.876878,0.020434000000000063
40,0.899833,0.022954999999999948
41,0.9211,0.021267000000000036
42,0.945611,0.02451099999999995
43,0.977056,0.031445000000000056
44,0.998522,0.021465999999999985
45,1.014622,0.016099999999999892
46,1.0385,0.023878000000000066
47,1.061856,0.023355999999999932
48,1.084233,0.02237700000000009
49,1.110356,0.026122999999999896
50,1.134711,0.024355000000000127
51,1.154089,0.019377999999999895
52,1.177478,0.023389000000000104
53,1.200778,0.023299999999999876
54,1.221433,0.02065500000000009
55,1.243867,0.022434000000000065
56,1.265378,0.021510999999999836
57,1.285856,0.020478000000000218
58,1.305144,0.019287999999999972
59,1.3254,0.02025599999999983
60,1.343633,0.018233000000000166
61,1.360056,0.016422999999999854
62,1.3775,0.017444000000000015
63,1.393789,0.016288999999999998
64,1.413244,0.019455
65,1.436633,0.023389000000000104
66,1.4536,0.016966999999999954
67,1.4699,0.01629999999999998
68,1.486889,0.01698899999999992
69,1.504378,0.017489000000000088
70,1.527733,0.023355000000000015
71,1.5487,0.020966999999999958
72,1.570411,0.021711000000000036
73,1.589433,0.019022000000000094
74,1.610644,0.02121099999999987
75,1.626856,0.016212000000000115
76,1.643289,0.01643299999999992
77,1.660178,0.016888999999999932
78,1.677222,0.01704400000000006
79,1.697267,0.02004500000000009
80,1.727422,0.030154999999999932
81,1.745389,0.017967000000000066
82,1.766767,0.021377999999999897
83,1.788056,0.021289000000000113
84,1.809167,0.02111099999999988
85,1.826933,0.01776599999999995
86,1.844033,0.017100000000000115
87,1.860911,0.01687799999999995
88,1.881978,0.021066999999999947
89,1.903156,0.02117800000000014
90,1.923711,0.02055499999999988
91,1.942922,0.01921100000000009
92,1.969111,0.026189000000000018
93,1.995144,0.026032999999999973
94,2.015611,0.02046699999999979
95,2.037333,0.02172200000000002
96,2.056733,0.019400000000000084
97,2.078811,0.022078000000000042
98,2.101844,0.02303299999999986
99,2.124411,0.022567000000000004
100,2.145011,0.02059999999999995
101,2.167389,0.02237800000000023
102,2.190744,0.023355000000000015
103,2.209289,0.018545000000000034
104,2.226644,0.017354999999999787
105,2.244611,0.017967000000000066
106,2.267978,0.023366999999999916
107,2.291311,0.023333000000000048
108,2.312256,0.020945000000000213
109,2.328722,0.01646599999999987
110,2.346989,0.018267000000000255
111,2.369633,0.022643999999999664
112,2.388244,0.018610999999999933
113,2.410056,0.021812000000000165
114,2.426922,0.016865999999999826
115,2.445144,0.018222000000000182
116,2.4611,0.01595600000000008
117,2.477411,0.016310999999999964
118,2.493967,0.016556000000000015
119,2.510633,0.016665999999999848
120,2.527856,0.01722299999999999
121,2.546033,0.01817700000000011
122,2.568922,0.02288900000000016
123,2.591767,0.022844999999999782
124,2.612556,0.02078900000000017
125,2.628689,0.016132999999999953
126,2.645567,0.016877999999999727
127,2.661522,0.015955000000000386
128,2.680044,0.018521999999999927
129,2.703589,0.023544999999999927
130,2.729533,0.025943999999999967
131,2.748489,0.018956000000000195
132,2.772744,0.024254999999999693
133,2.795856,0.023112000000000243
134,2.812967,0.017110999999999876
135,2.8352,0.022232999999999947
136,2.861944,0.02674399999999988
137,2.880489,0.018545000000000034
