TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,AUX_LEFT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-03-13 17:30:54.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected MuseS-9CF6
2025-03-13 17:30:55.025,0.1348726334217335,-0.3586730027156057,-0.1743301234415597,-0.173349181125481,0.2638653078222588,-0.1777126485554764,-0.1242736238641919,0.1326432509666478,1.040159034313436,0.3296148027054339,0.1548429295739321,0.713546187481146,1.070149116795112,-0.2703314059762065,-0.1743983140943973,0.5196052229435412,0.7606022247750839,-0.289891590291628,-0.6254971875782596,0.2632321746899986,794.1758241758242,794.5787545787546,805.8608058608058,811.5018315018315,858.6446886446887,716.4102564102565,0.102173,0.165588,0.980591,2.183228,0.418701,1.375732,1,1,1,1,1,95.000000
2025-03-13 17:30:55.536,0.3196585758260046,-0.3217396989268761,-0.1554632625885546,0.05237281714373912,0.3018428418055722,-0.2163623705732721,-0.1529220940946265,0.01195296773031434,1.121541943305981,0.3908940297044585,0.184804987214787,0.7356815103768567,1.044411214852155,-0.1930116378832329,-0.1402634496067021,0.5595864196676041,0.7857079068348028,-0.3256895159005105,-0.6809515671872733,0.3129136000819002,780.8791208791209,778.0586080586081,820.3663003663004,786.9230769230769,965.0183150183151,805.8608058608058,0.168762,0.276062,1.023743,-25.802460,15.716248,77.855988,1,1,1,1,1,95.000000
2025-03-13 17:30:55.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-03-13 17:30:56.026,0.4494826172909464,0.6984708134621644,0.6725718981332642,0.1910645925441088,0.3609483743098747,0.01540006298138012,0.0939718991053958,0.08457264457561896,1.121541943305981,0.4210216370294681,0.3465433055727022,0.6948836243421525,1.043725837899726,-0.1721784156107793,-0.1244698842364618,0.6353687273519519,0.7476478754300352,-0.3482000041747889,-0.6494234482684303,0.3768426023382529,792.1611721611722,797.8021978021978,803.4432234432235,819.96336996337,832.0512820512821,692.6373626373627,0.051514,0.095703,0.995300,6.347809,3.925323,1.712189,1,1,1,1,1,95.000000
2025-03-13 17:30:56.534,0.4984543479047439,1.010309285082238,0.9641321093709807,0.4748690854022323,0.5065033357739478,0.05316864986913213,0.1259668212314334,0.2831418586964223,1.105391413451199,0.33931620583142,0.3080884376793028,0.5655282055028753,1.019152010261665,-0.1469691989944127,-0.1483021154248339,0.6167103151690321,0.743128070423416,-0.3444485181152026,-0.5983556409300729,0.2979464996348441,799.8168498168499,805.8608058608058,806.2637362637363,816.7399267399268,873.1501831501831,693.040293040293,0.061462,0.138245,1.034912,0.867310,5.211334,1.779480,1,1,1,1,1,95.000000
2025-03-13 17:30:56.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-03-13 17:30:57.026,0.4984543479047439,1.132270742939727,0.9904439782698459,0.4748690854022323,0.5065033357739478,0.2519531342355733,0.1209307335665058,0.2831418586964223,1.105391413451199,0.3123659699889523,0.3052890773062348,0.5655282055028753,1.019152010261665,-0.1056737806568302,-0.1404228806277276,0.6167103151690321,0.743128070423416,-0.2261785278631309,-0.2652981822966176,0.2979464996348441,808.6813186813187,802.6373626373627,799.4139194139194,805.4578754578755,848.1684981684982,689.0109890109891,-0.079834,0.088562,1.011536,2.041168,-6.616974,-0.568237,1,1,1,1,1,95.000000
2025-03-13 17:30:57.526,0.4984543479047439,1.128353369223722,0.9346145694443811,0.4748690854022323,0.5065033357739478,0.2493688417549985,0.03390537255695707,0.2831418586964223,1.105391413451199,0.2454356019996203,0.2191164183983252,0.5655282055028753,1.019152010261665,-0.1240975011017048,-0.1211728190033975,0.6167103151690321,0.743128070423416,-0.187296002596786,-0.03363032324651344,0.2979464996348441,832.8571428571429,740.5860805860806,787.7289377289378,875.9706959706959,778.0586080586081,691.025641025641,-0.175293,0.097168,1.016968,-7.005768,41.937408,7.304840,1,1,1,1,1,95.000000
2025-03-13 17:30:57.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-03-13 17:30:58.043,0.4984543479047439,1.025364971180435,0.6211108540385114,0.4748690854022323,0.5065033357739478,0.4113514923026187,0.02790994331222547,0.2831418586964223,1.105391413451199,0.2324631379421774,0.07271504010548706,0.5655282055028753,1.019152010261665,-0.0214265053225482,-0.1007868857957008,0.6167103151690321,0.743128070423416,-0.05487137818339547,0.1519963640514068,0.2979464996348441,815.5311355311355,800.2197802197802,800.6227106227107,800.6227106227107,781.6849816849817,648.7179487179487,-0.347290,0.056335,0.935730,-2.243042,-4.979553,1.607513,1,1,1,1,1,95.000000
