frame,timestamp,time_delta
0,0.286,0.0
1,0.436622,0.15062200000000003
2,0.380333,-0.05628900000000003
3,0.361733,-0.01859999999999995
4,0.396133,0.034399999999999986
5,0.499122,0.102989
6,0.467944,-0.031177999999999984
7,0.452633,-0.015311000000000019
8,0.483644,0.03101100000000001
9,0.5583,0.074656
10,0.523611,-0.03468899999999997
11,0.514778,-0.00883300000000009
12,0.548256,0.03347800000000001
13,0.599867,0.051611000000000073
14,0.577233,-0.022634000000000043
15,0.566522,-0.010711000000000026
16,0.588678,0.022156000000000065
17,0.644578,0.05589999999999995
18,0.622411,-0.022166999999999937
19,0.610889,-0.011522000000000032
20,0.633411,0.02252199999999993
21,0.689156,0.055745000000000045
22,0.667044,-0.02211200000000002
23,0.655633,-0.011410999999999949
24,0.678178,0.022544999999999926
25,0.733644,0.055466000000000015
26,0.711489,-0.022154999999999925
27,0.700178,-0.011311000000000071
28,0.722411,0.02223300000000006
29,0.778156,0.055744999999999933
30,0.755933,-0.022222999999999993
31,0.744667,-0.011265999999999998
32,0.767156,0.02248899999999998
33,0.8227,0.05554400000000004
34,0.800367,-0.022332999999999936
35,0.789122,-0.01124500000000006
36,0.811367,0.02224499999999996
37,0.867178,0.055811000000000055
38,0.844922,-0.022256000000000054
39,0.833667,-0.011254999999999904
40,0.855989,0.022321999999999953
41,0.911989,0.05600000000000005
42,0.889622,-0.022367000000000026
43,0.878378,-0.011244000000000032
44,0.900833,0.022455000000000003
45,0.956344,0.05551099999999998
46,0.934,-0.02234399999999992
47,0.923011,-0.010989000000000027
48,0.945133,0.022121999999999975
49,1.000889,0.05575599999999992
50,0.978444,-0.022444999999999937
51,0.967444,-0.01100000000000001
52,0.989744,0.022299999999999986
53,1.045522,0.055778000000000105
54,1.023067,-0.022455000000000114
55,1.012044,-0.011023000000000005
56,1.034356,0.02231200000000011
57,1.090022,0.05566599999999999
58,1.067611,-0.02241099999999996
59,1.056522,-0.011089000000000127
60,1.079156,0.022634000000000043
61,1.134678,0.05552200000000007
62,1.112433,-0.02224500000000007
63,1.101111,-0.011322000000000054
64,1.123356,0.02224500000000007
65,1.179056,0.05570000000000008
66,1.156933,-0.022123000000000115
67,1.145622,-0.011311000000000071
68,1.167978,0.022356000000000043
69,1.223533,0.05555500000000002
70,1.201378,-0.022154999999999925
71,1.190211,-0.011167000000000149
72,1.212333,0.022122000000000197
73,1.2681,0.0557669999999999
74,1.246144,-0.021956000000000087
75,1.234822,-0.011321999999999832
76,1.256956,0.022133999999999876
77,1.312767,0.055811000000000055
78,1.290467,-0.022299999999999986
79,1.279233,-0.011233999999999966
80,1.301478,0.022244999999999848
81,1.357456,0.05597800000000008
82,1.335222,-0.022234000000000087
83,1.323789,-0.011432999999999804
84,1.346344,0.02255499999999988
85,1.401767,0.055423
86,1.379567,-0.022199999999999998
87,1.368722,-0.010844999999999994
88,1.390944,0.022221999999999964
89,1.446789,0.055845000000000145
90,1.424156,-0.022633000000000125
91,1.413044,-0.01111200000000001
92,1.435367,0.022323000000000093
93,1.491056,0.05568899999999988
94,1.468733,-0.02232299999999987
95,1.457689,-0.011044000000000054
96,1.480033,0.02234399999999992
97,1.535356,0.05532300000000001
98,1.513478,-0.021877999999999842
99,1.502356,-0.011122000000000076
100,1.524489,0.022132999999999958
101,1.580033,0.05554400000000004
102,1.557789,-0.02224399999999993
103,1.546778,-0.011011000000000104
104,1.569222,0.02244399999999991
105,1.624689,0.055467000000000155
106,1.602589,-0.02210000000000001
107,1.591467,-0.011122000000000076
108,1.613611,0.02214399999999994
109,1.669278,0.05566700000000013
110,1.647133,-0.02214500000000008
111,1.635778,-0.011355000000000004
112,1.6583,0.022522000000000153
113,1.714167,0.05586699999999989
114,1.691556,-0.022610999999999937
115,1.680344,-0.011212
116,1.702556,0.0222119999999999
117,1.7585,0.055943999999999994
118,1.736133,-0.022367000000000026
119,1.724778,-0.011355000000000004
120,1.7473,0.022522000000000153
121,1.802844,0.055543999999999816
122,1.7806,-0.02224399999999993
123,1.769289,-0.011311000000000071
124,1.791856,0.022567000000000004
125,1.847689,0.05583300000000002
126,1.825244,-0.022444999999999826
127,1.813989,-0.011255000000000015
128,1.836322,0.022332999999999936
129,1.892011,0.0556890000000001
130,1.869822,-0.022189000000000014
131,1.858589,-0.011233000000000049
132,1.8808,0.02221099999999998
133,1.936522,0.05572200000000005
134,1.914433,-0.022089000000000025
135,1.903244,-0.011189000000000116
136,1.925544,0.022299999999999986
137,1.981056,0.055512000000000006
138,1.958867,-0.022189000000000014
139,1.947678,-0.011188999999999893
140,1.970111,0.022432999999999925
141,2.025667,0.05555599999999994
142,2.003256,-0.02241099999999996
143,1.992367,-0.010888999999999927
144,2.014611,0.02224399999999993
145,2.070156,0.055544999999999956
146,2.047844,-0.022311999999999887
147,2.036711,-0.01113300000000006
148,2.058956,0.022244999999999848
149,2.114667,0.055711000000000066
150,2.092333,-0.022333999999999854
151,2.081544,-0.010788999999999938
152,2.103611,0.022066999999999837
153,2.159367,0.05575600000000014
154,2.137011,-0.02235599999999982
155,2.125867,-0.011144000000000265
156,2.148189,0.022321999999999953
157,2.204122,0.05593300000000001
158,2.181711,-0.02241099999999996
159,2.170489,-0.011222000000000065
160,2.192722,0.022232999999999947
161,2.248511,0.05578900000000031
162,2.226211,-0.022299999999999986
163,2.214967,-0.011244000000000032
164,2.237378,0.02241099999999996
165,2.293044,0.05566599999999999
166,2.270833,-0.02221099999999998
167,2.259444,-0.011389000000000316
168,2.2818,0.022356000000000265
169,2.3376,0.05580000000000007
170,2.315322,-0.02227800000000002
171,2.304122,-0.011200000000000099
172,2.326367,0.022244999999999848
173,2.382278,0.055911000000000044
174,2.359911,-0.022367000000000026
175,2.3486,-0.011311000000000071
176,2.3711,0.02250000000000041
177,2.426622,0.05552199999999985
178,2.404456,-0.022165999999999908
179,2.393256,-0.011200000000000099
180,2.415644,0.022387999999999852
181,2.471178,0.055534000000000194
182,2.448889,-0.022289000000000225
183,2.437978,-0.010910999999999671
184,2.460122,0.02214399999999994
185,2.515733,0.055610999999999855
186,2.493456,-0.02227699999999988
187,2.4823,-0.011156000000000166
188,2.504633,0.02233300000000016
189,2.560289,0.05565599999999993
190,2.537956,-0.02233300000000016
191,2.5271,-0.010855999999999977
192,2.549067,0.02196700000000007
193,2.604711,0.05564400000000003
194,2.582756,-0.02195500000000017
195,2.571811,-0.010944999999999983
196,2.593689,0.021878000000000064
197,2.649456,0.0557669999999999
198,2.627244,-0.022211999999999676
199,2.615956,-0.011287999999999965
200,2.638156,0.022199999999999775
201,2.694078,0.05592200000000025
202,2.6718,-0.02227800000000002
203,2.660511,-0.011289000000000105
204,2.682633,0.022121999999999975
205,2.7386,0.05596699999999988
206,2.716289,-0.022310999999999748
207,2.704878,-0.011411000000000282
208,2.727344,0.022466000000000097
209,2.783256,0.055912000000000184
210,2.760889,-0.022367000000000026
211,2.7496,-0.011289000000000105
212,2.771911,0.022310999999999748
213,2.827678,0.055767000000000344
214,2.805333,-0.02234500000000006
215,2.794144,-0.011188999999999893
216,2.816411,0.022266999999999815
217,2.872122,0.055711000000000066
218,2.85,-0.022121999999999975
219,2.838733,-0.011267000000000138
