unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name,closest_unix_ms,Theta_AF7,Theta_AF8,Alpha_AF7,Alpha_AF8,Beta_AF7,Beta_AF8,Gamma_AF7,Gamma_AF8,Rel_Theta_AF7,Rel_Theta_AF8,Rel_Alpha_AF7,Rel_Alpha_AF8,Rel_Beta_AF7,Rel_Beta_AF8,Rel_Gamma_AF7,Rel_Gamma_AF8
17429399522,,,,,,,,,1742939317354,2.3538139716095925,2.3720941268216365,4.684660655120922,1.7941311649502842,11.336831641112466,0.729042577018887,4.428227274319897,0.2315164847716299,4,4,9,3,22,1,8,0
1742939336922,0.0,279.0,,Center,0.0,0.0,0.0,,1742939336922,1.4678339775139027,0.9932918389574357,1.4265083524750053,1.9340080964732171,1.0810080702434808,0.7214154258013379,0.36376403663335044,0.2512651019612609,2,2,2,3,2,1,0,0
1742939336922,0.0,,Activation,,,,,,1742939336922,1.4678339775139027,0.9932918389574357,1.4265083524750053,1.9340080964732171,1.0810080702434808,0.7214154258013379,0.36376403663335044,0.2512651019612609,2,2,2,3,2,1,0,0
1742939336922,0.0,279.0,,Left,0.0,0.0,0.0,,1742939336922,1.4678339775139027,0.9932918389574357,1.4265083524750053,1.9340080964732171,1.0810080702434808,0.7214154258013379,0.36376403663335044,0.2512651019612609,2,2,2,3,2,1,0,0
1742939336922,0.0,279.0,,Right,0.0,0.0,0.0,,1742939336922,1.4678339775139027,0.9932918389574357,1.4265083524750053,1.9340080964732171,1.0810080702434808,0.7214154258013379,0.36376403663335044,0.2512651019612609,2,2,2,3,2,1,0,0
1742939337198,0.01999998,281.0,,Right,850.8094,786.2393,49.15908,,1742939337198,1.7962457301661972,1.1764324952326046,1.1507719967328223,1.9326021253134784,1.1976477107731847,0.6549156237614666,0.3668209792976141,0.19537718096457518,3,2,2,3,2,1,0,0
1742939337198,0.01999998,281.0,,Left,851.8149,786.2393,49.15909,,1742939337198,1.7962457301661972,1.1764324952326046,1.1507719967328223,1.9326021253134784,1.1976477107731847,0.6549156237614666,0.3668209792976141,0.19537718096457518,3,2,2,3,2,1,0,0
1742939337198,0.01999998,281.0,,Center,851.3121,786.2393,49.15908,,1742939337198,1.7962457301661972,1.1764324952326046,1.1507719967328223,1.9326021253134784,1.1976477107731847,0.6549156237614666,0.3668209792976141,0.19537718096457518,3,2,2,3,2,1,0,0
1742939337251,0.0854373,282.0,,Center,834.0752,787.1857,49.35736,,1742939337251,1.7962457301661972,1.1764324952326046,1.1507719967328223,1.9326021253134784,1.1976477107731847,0.6549156237614666,0.3668209792976141,0.19537718096457518,3,2,2,3,2,1,0,0
1742939337251,0.0854373,282.0,,Left,834.5759,787.1856,49.35736,,1742939337251,1.7962457301661972,1.1764324952326046,1.1507719967328223,1.9326021253134784,1.1976477107731847,0.6549156237614666,0.3668209792976141,0.19537718096457518,3,2,2,3,2,1,0,0
1742939337251,0.0854373,282.0,,Right,833.5744,787.1857,49.35736,,1742939337251,1.7962457301661972,1.1764324952326046,1.1507719967328223,1.9326021253134784,1.1976477107731847,0.6549156237614666,0.3668209792976141,0.19537718096457518,3,2,2,3,2,1,0,0
1742939337312,0.1230347,283.0,,Center,833.1157,768.2131,49.34207,,1742939337289,1.970265544351905,1.240919319247631,1.0957231489356025,1.930511882063461,1.1964456183850867,0.6375762115985976,0.3593549130232403,0.1771119440488406,3,2,2,3,2,1,0,0
