unix_ts,frame,x,y
18.206766666666667,1962,561,205
18.220266666666667,1963,562,210
18.235111111111113,1964,562,210
18.24791111111111,1965,561,217
18.26237777777778,1966,561,217
18.276033333333334,1967,561,217
18.289422222222225,1968,541,221
18.305022222222224,1969,541,221
18.317,1970,394,337
18.344966666666668,1972,394,338
18.358922222222223,1973,392,338
18.373888888888892,1974,392,338
18.38648888888889,1975,388,315
18.40076666666667,1976,388,315
18.4142,1977,375,243
18.429211111111112,1978,375,243
18.4437,1979,375,243
18.455755555555555,1980,327,180
18.471500000000002,1981,327,180
18.484033333333336,1982,280,165
18.498811111111113,1983,280,165
18.5123,1984,280,165
18.52567777777778,1985,251,165
18.540055555555558,1986,251,165
18.553733333333334,1987,245,184
18.56868888888889,1988,245,184
18.58095555555556,1989,225,206
18.595833333333335,1990,225,206
18.609222222222222,1991,225,206
18.622866666666667,1992,224,215
18.639922222222225,1993,224,215
18.65096666666667,1994,218,218
18.66496666666667,1995,218,218
18.67867777777778,1996,219,218
18.692566666666668,1997,215,218
18.7074,1998,215,219
18.719844444444444,1999,207,218
18.7347,2000,207,219
18.747777777777777,2001,198,214
18.76246666666667,2002,198,214
18.776555555555557,2003,198,214
18.789266666666666,2004,183,213
18.80495555555556,2005,183,213
18.817133333333334,2006,179,222
18.833122222222222,2007,179,223
18.846011111111114,2008,179,223
18.859222222222222,2009,176,232
18.873911111111113,2010,177,232
18.886755555555556,2011,166,235
18.901711111111112,2012,166,235
18.91508888888889,2013,164,243
18.929255555555557,2014,164,243
18.942644444444447,2015,164,243
18.956022222222224,2016,159,242
18.972911111111113,2017,160,242
18.984299999999998,2018,158,242
18.998533333333334,2019,158,242
19.01225555555556,2020,158,242
19.02577777777778,2021,158,241
19.040755555555556,2022,158,241
19.053311111111114,2023,157,242
19.068155555555556,2024,157,242
19.08106666666667,2025,156,243
19.096633333333333,2026,156,243
19.109811111111114,2027,156,244
19.122577777777778,2028,156,238
19.13798888888889,2029,156,238
19.150544444444446,2030,153,239
19.165933333333335,2031,153,239
19.179533333333335,2032,160,238
19.192500000000003,2033,160,238
19.20726666666667,2034,160,238
19.220055555555557,2035,160,237
19.23601111111111,2036,160,237
19.24868888888889,2037,160,242
19.262711111111113,2038,160,241
19.27587777777778,2039,160,241
19.28946666666667,2040,157,235
19.305600000000002,2041,157,235
19.317411111111113,2042,156,219
19.331855555555556,2043,156,219
19.34571111111111,2044,156,220
19.359011111111112,2045,156,219
19.374244444444447,2046,156,219
19.38667777777778,2047,156,209
19.401533333333333,2048,156,209
19.414266666666666,2049,152,223
19.429322222222222,2050,152,223
19.444122222222223,2051,152,223
19.45596666666667,2052,155,224
19.472344444444445,2053,154,224
19.484455555555556,2054,159,227
19.498900000000003,2055,159,227
19.512533333333334,2056,159,227
19.52607777777778,2057,159,227
19.540233333333333,2058,159,227
19.55348888888889,2059,157,232
19.568633333333334,2060,157,232
19.581122222222223,2061,157,230
19.5962,2062,157,230
19.6091,2063,157,229
19.622766666666667,2064,153,233
19.63866666666667,2065,153,232
19.6505,2066,155,228
19.665033333333334,2067,155,228
19.67864444444444,2068,153,238
19.692777777777778,2069,153,238
19.707244444444445,2070,153,238
19.72028888888889,2071,156,225
19.734911111111114,2072,155,225
19.747655555555557,2073,156,240
19.76358888888889,2074,156,240
19.776366666666668,2075,156,240
19.78946666666667,2076,161,224
19.80497777777778,2077,161,224
19.817733333333333,2078,166,224
19.832866666666668,2079,166,223
19.84607777777778,2080,185,211
19.85941111111111,2081,185,210
19.873411111111114,2082,185,210
19.887233333333334,2083,225,210
19.903000000000002,2084,225,210
19.914811111111113,2085,248,210
19.930100000000003,2086,248,210
19.94347777777778,2087,248,210
19.956466666666667,2088,274,213
19.972233333333335,2089,274,212
19.984844444444445,2090,300,217
19.99856666666667,2091,300,217
20.012722222222223,2092,330,234
20.02686666666667,2093,330,234
20.04146666666667,2094,330,234
20.0544,2095,344,240
20.069200000000002,2096,344,240
20.081855555555556,2097,345,246
20.097611111111114,2098,345,246
20.110766666666667,2099,345,247
20.123855555555558,2100,357,258
20.138900000000003,2101,357,258
20.151744444444446,2102,364,265
20.166011111111114,2103,364,265
20.180144444444444,2104,372,275
20.194122222222223,2105,372,275
20.20738888888889,2106,372,275
20.22168888888889,2107,373,284
20.238555555555557,2108,373,284
20.249277777777777,2109,375,286
20.264311111111112,2110,375,286
20.277233333333335,2111,375,286
20.290633333333336,2112,375,289
20.30637777777778,2113,375,289
20.318733333333334,2114,375,291
20.332555555555558,2115,375,291
20.346622222222223,2116,375,294
20.374911111111114,2118,375,295
20.388422222222225,2119,370,292
20.4035,2120,371,292
20.416111111111114,2121,370,296
20.432422222222225,2122,370,296
20.445133333333334,2123,367,288
20.45768888888889,2124,367,288
20.473322222222222,2125,367,288
20.485922222222225,2126,366,295
20.50016666666667,2127,366,295
20.513844444444445,2128,366,293
20.528166666666667,2129,366,293
20.54148888888889,2130,366,293
20.5557,2131,366,293
20.571922222222224,2132,366,293
20.58308888888889,2133,368,292
20.598011111111113,2134,368,292
20.611255555555555,2135,367,296
20.62476666666667,2136,367,296
20.640233333333335,2137,367,295
20.653177777777778,2138,365,297
20.667333333333335,2139,365,297
20.680722222222222,2140,361,297
20.695411111111113,2141,361,297
20.708722222222228,2142,361,297
20.72266666666667,2143,361,299
20.737244444444446,2144,361,299
20.749833333333335,2145,361,299
20.765511111111113,2146,361,299
20.778911111111114,2147,361,303
20.791966666666667,2148,361,303
20.806911111111113,2149,362,303
20.82008888888889,2150,362,300
20.83517777777778,2151,362,300
20.848344444444447,2152,363,300
20.875722222222223,2154,363,301
20.889444444444447,2155,366,299
20.905022222222225,2156,366,300
20.917144444444446,2157,367,300
20.931833333333334,2158,367,300
20.945411111111113,2159,367,301
20.959022222222224,2160,367,301
20.9742,2161,367,301
20.987322222222225,2162,367,303
21.00148888888889,2163,367,303
21.0147,2164,367,305
21.043722222222225,2166,367,305
21.056977777777778,2167,363,305
21.07177777777778,2168,363,306
21.08416666666667,2169,360,304
21.09925555555556,2170,360,305
21.112733333333335,2171,360,304
21.12646666666667,2172,360,304
21.14058888888889,2173,360,305
21.154122222222224,2174,359,300
21.169333333333334,2175,359,300
21.181922222222223,2176,356,300
21.196911111111113,2177,356,300
21.20978888888889,2178,356,301
21.22378888888889,2179,346,308
21.239244444444445,2180,346,308
21.25097777777778,2181,325,309
21.279444444444447,2183,298,310
21.292900000000003,2184,298,310
21.307966666666665,2185,298,310
21.32111111111111,2186,274,322
21.335433333333334,2187,274,322
21.34887777777778,2188,253,347
21.365133333333336,2189,253,347
21.377366666666667,2190,253,348
21.39058888888889,2191,224,368
21.405811111111113,2192,224,368
21.418166666666668,2193,206,373
21.434322222222224,2194,206,373
21.4467,2195,179,374
21.460433333333334,2196,179,374
21.474533333333333,2197,179,373
21.488266666666668,2198,179,376
21.503400000000003,2199,179,375
21.515833333333333,2200,173,373
21.531277777777778,2201,173,373
21.5436,2202,178,381
21.557655555555556,2203,179,381
21.573055555555555,2204,179,381
21.5852,2205,174,376
21.599844444444447,2206,175,376
21.613500000000002,2207,163,377
21.627077777777778,2208,163,376
21.642666666666667,2209,163,376
21.65527777777778,2210,162,375
21.669866666666667,2211,162,375
21.683422222222223,2212,162,363
21.698555555555558,2213,162,363
21.7113,2214,163,363
21.72511111111111,2215,162,359
21.739733333333334,2216,163,359
21.75218888888889,2217,162,359
21.767355555555557,2218,162,359
21.780722222222224,2219,159,357
21.794311111111114,2220,159,357
21.808411111111113,2221,159,357
21.822222222222223,2222,158,353
21.839033333333333,2223,158,353
21.85067777777778,2224,163,353
21.864977777777778,2225,162,353
21.87791111111111,2226,163,354
21.89195555555556,2227,162,354
21.907222222222224,2228,162,354
21.919244444444445,2229,163,355
21.934122222222225,2230,163,355
21.94725555555556,2231,164,355
21.96185555555556,2232,164,355
21.976333333333336,2233,164,355
21.98927777777778,2234,162,363
22.003800000000002,2235,162,363
22.017288888888892,2236,162,363
22.03226666666667,2237,162,363
22.0453,2238,164,363
22.05878888888889,2239,164,363
22.073733333333333,2240,164,362
22.086455555555556,2241,167,382
22.1018,2242,167,381
22.11447777777778,2243,171,384
22.1292,2244,171,383
22.142455555555557,2245,171,383
22.156333333333336,2246,171,381
22.171311111111113,2247,172,380
22.18417777777778,2248,172,382
22.198444444444444,2249,172,382
22.212044444444444,2250,170,379
22.226166666666668,2251,170,380
22.240755555555555,2252,171,380
22.253466666666668,2253,173,379
22.268666666666668,2254,173,379
22.281755555555556,2255,174,379
22.296266666666668,2256,174,378
22.309755555555558,2257,174,379
22.32345555555556,2258,178,376
22.337833333333336,2259,177,376
22.351311111111112,2260,177,376
22.366200000000003,2261,177,377
22.37901111111111,2262,178,377
22.3931,2263,178,377
22.407555555555557,2264,178,377
22.4203,2265,172,377
22.4375,2266,172,377
22.456255555555558,2267,172,369
22.470911111111114,2268,172,369
22.483877777777778,2269,172,369
22.498811111111113,2270,167,369
22.51208888888889,2271,168,369
22.525233333333336,2272,166,370
22.540066666666668,2273,166,369
22.553144444444445,2274,166,369
22.567611111111113,2275,167,369
22.5809,2276,167,369
22.594811111111113,2277,166,369
22.608711111111113,2278,166,369
