unix_ms,event_type,title,description,x,y,z
1706837796154,Simulation,Simulation Start,,0,0,0
1706837796205,Anchor,Left,Center,720,792,10
1706837796205,Anchor,Left,Top Left,434.0125,934.9938,10
1706837796205,Anchor,Left,Top Right,1005.987,934.9938,10
1706837796205,Anchor,Left,Bottom Left,434.0125,649.0062,10
1706837796205,Anchor,Right,Center,720,792,10
1706837796205,Anchor,Right,Top Left,434.0125,934.9938,10
1706837796205,Anchor,Right,Top Right,1005.987,934.9938,10
1706837796205,Anchor,Right,Bottom Left,434.0125,649.0062,10
1706837814389,Simulation,Trial 1 Start,,0,0,0
1706837814389,Player,position,,0.003235367,1.753245,0.1916216
1706837814389,Player,orientation,,2.764588,359.6805,358.6285
1706837814389,Eye Tracking,Left,Direction,-0.3060674,0.06465515,0.9498118
1706837814389,Eye Tracking,Right,Direction,-0.3486283,0.06365863,0.9350967
1706837814389,Eye Tracking,Center,Direction,-0.3254266,0.06373611,0.9434168
1706837814389,Eye Tracking,Left,Screen Position,475.7471,840.3024,9.423046
1706837814389,Eye Tracking,Right,Screen Position,471.0035,840.3024,9.423046
1706837814403,Player,position,,0.003224497,1.753298,0.1915789
1706837814403,Player,orientation,,2.716656,359.6752,358.6328
1706837814403,Eye Tracking,Left,Direction,-0.3059534,0.06388179,0.9499009
1706837814403,Eye Tracking,Right,Direction,-0.3485159,0.06290092,0.9351899
1706837814403,Eye Tracking,Center,Direction,-0.3273214,0.06325798,0.9427933
1706837814403,Eye Tracking,Left,Screen Position,474.1487,839.9718,9.416713
1706837814403,Eye Tracking,Right,Screen Position,469.402,839.9718,9.416713
1706837814417,Player,position,,0.003236876,1.753378,0.191514
1706837814417,Player,orientation,,2.669579,359.6675,358.631
1706837814417,Eye Tracking,Left,Direction,-0.3058753,0.07105986,0.949416
1706837814417,Eye Tracking,Right,Direction,-0.3484415,0.06996378,0.9347157
1706837814417,Eye Tracking,Center,Direction,-0.3271771,0.06246993,0.9428959
