unix_ms,event_type,title,description,x,y,z
1742678634590,Activation,,,,,
1742678634591,Anchor,Left,Center,720,792,50
1742678634591,Anchor,Left,Top Left,434.0125,934.9938,50
1742678634591,Anchor,Left,Top Right,1005.987,934.9938,50
1742678634591,Anchor,Left,Bottom Left,434.0125,649.0063,50
1742678634591,Anchor,Right,Center,720,792,50
1742678634591,Anchor,Right,Top Left,434.0125,934.9938,50
1742678634591,Anchor,Right,Top Right,1005.987,934.9938,50
1742678634591,Anchor,Right,Bottom Left,434.0125,649.0063,50
1742678634591,Anchor,Center,Center,720,792,50
1742678634591,Anchor,Center,Top Left,434.0125,934.9938,50
1742678634591,Anchor,Center,Top Right,1005.987,934.9938,50
1742678634591,Anchor,Center,Bottom Left,434.0125,649.0063,50
1742678652715,Deactivate,,,,,
