unix_ms,event_type,title,description,x,y,z
1706425319741,Player,orientation,,357.8753,359.3717,0.3759816
1706425319741,Eye Tracking,Left,Direction,-0.07335039,-0.0332679,0.9967512
1706425319741,Eye Tracking,Right,Direction,-0.1256163,-0.03309945,0.9915265
1706425319741,Eye Tracking,Center,Direction,-0.09951776,-0.03318607,0.9944822
1706425319741,Eye Tracking,Left,Screen Position,648.9316,768.1414,49.72024
1706425319741,Eye Tracking,Right,Screen Position,647.9746,768.1414,49.72024
1706425319755,Player,position,,-0.003770745,1.688359,0.002491512
1706425319755,Player,orientation,,357.9025,359.2511,0.3841232
1706425319755,Eye Tracking,Left,Direction,-0.07124861,-0.0328062,0.9969189
1706425319755,Eye Tracking,Right,Direction,-0.1235253,-0.03263675,0.9918045
1706425319755,Eye Tracking,Center,Direction,-0.09742063,-0.03272371,0.9947052
1706425319755,Eye Tracking,Left,Screen Position,650.4549,768.479,49.73156
1706425319755,Eye Tracking,Right,Screen Position,649.4982,768.479,49.73156
1706425319769,Player,position,,-0.003938979,1.688273,0.002372398
1706425319769,Player,orientation,,357.9577,359.1599,0.3904523
1706425319769,Eye Tracking,Left,Direction,-0.07184835,-0.02763366,0.9970326
1706425319769,Eye Tracking,Right,Direction,-0.1241443,-0.02748099,0.9918836
1706425319769,Eye Tracking,Center,Direction,-0.0958306,-0.0317697,0.9948905
1706425319769,Eye Tracking,Left,Screen Position,651.6105,769.169,49.74092
1706425319769,Eye Tracking,Right,Screen Position,650.6539,769.169,49.74092
1706425319783,Player,position,,-0.004068298,1.688151,0.002288739
1706425319783,Player,orientation,,358.0374,359.0913,0.4053368
1706425319783,Eye Tracking,Left,Direction,-0.07064825,-0.02623739,0.9971561
1706425319783,Eye Tracking,Right,Direction,-0.1229503,-0.02608041,0.9920701
1706425319783,Eye Tracking,Center,Direction,-0.09683275,-0.02615879,0.9949569
1706425319783,Eye Tracking,Left,Screen Position,650.895,773.2025,49.74397
1706425319783,Eye Tracking,Right,Screen Position,649.9384,773.2025,49.74397
1706425319797,Player,position,,-0.004148373,1.687988,0.002257124
1706425319797,Player,orientation,,358.1243,359.047,0.4180324
1706425319797,Eye Tracking,Left,Direction,-0.06977068,-0.01423682,0.9974614
1706425319797,Eye Tracking,Right,Direction,-0.1221065,-0.01413939,0.9924163
1706425319797,Eye Tracking,Center,Direction,-0.09605619,-0.02463307,0.9950711
1706425319797,Eye Tracking,Left,Screen Position,651.4609,774.3009,49.7497
1706425319797,Eye Tracking,Right,Screen Position,650.5045,774.3009,49.74969
1706425319811,Player,position,,-0.004197326,1.687816,0.002265517
1706425319811,Player,orientation,,358.233,359.03,0.4414954
1706425319811,Eye Tracking,Left,Direction,-0.06946584,-0.01231592,0.9975083
1706425319811,Eye Tracking,Right,Direction,-0.1218032,-0.0122071,0.9924792
1706425319811,Eye Tracking,Center,Direction,-0.09566767,-0.01225651,0.9953379
1706425319811,Eye Tracking,Left,Screen Position,651.7584,783.1959,49.76281
1706425319811,Eye Tracking,Right,Screen Position,650.8021,783.1959,49.76281
1706425319825,Player,position,,-0.004201828,1.687616,0.002318827
1706425319825,Player,orientation,,358.3496,359.031,0.4811856
1706425319825,Eye Tracking,Left,Direction,-0.06438429,-0.001744616,0.9979237
1706425319825,Eye Tracking,Right,Direction,-0.1167896,-0.001675257,0.9931553
1706425319825,Eye Tracking,Center,Direction,-0.09567548,-0.0101604,0.9953607
1706425319825,Eye Tracking,Left,Screen Position,651.7543,784.7018,49.76391
1706425319825,Eye Tracking,Right,Screen Position,650.7981,784.7018,49.76391
1706425319839,Player,position,,-0.004173713,1.68739,0.002404556
1706425319839,Player,orientation,,358.4855,359.0487,0.5259438
1706425319839,Eye Tracking,Left,Direction,-0.06467368,0.0006807912,0.9979062
1706425319839,Eye Tracking,Right,Direction,-0.1170777,0.0007801963,0.9931225
1706425319839,Eye Tracking,Center,Direction,-0.09090723,0.0007401467,0.9958591
1706425319839,Eye Tracking,Left,Screen Position,655.2117,792.5314,49.78877
1706425319839,Eye Tracking,Right,Screen Position,654.256,792.5314,49.78877
1706425319853,Player,position,,-0.004118674,1.687128,0.002516745
1706425319853,Player,orientation,,358.6375,359.088,0.5592582
1706425319853,Eye Tracking,Left,Direction,-0.06533271,0.003378451,0.9978578
1706425319853,Eye Tracking,Right,Direction,-0.1177335,0.003496459,0.9930391
1706425319853,Eye Tracking,Center,Direction,-0.0915649,0.003448046,0.9957932
1706425319853,Eye Tracking,Left,Screen Position,654.7352,794.4756,49.78539
1706425319853,Eye Tracking,Right,Screen Position,653.7795,794.4756,49.78539
1706425319867,Player,position,,-0.004054606,1.686864,0.0026447
1706425319867,Player,orientation,,358.7964,359.1429,0.5804049
1706425319867,Eye Tracking,Left,Direction,-0.06464428,0.002044689,0.9979063
1706425319867,Eye Tracking,Right,Direction,-0.1170617,0.00213379,0.9931223
1706425319867,Eye Tracking,Center,Direction,-0.09248971,0.006261319,0.995694
1706425319867,Eye Tracking,Left,Screen Position,654.0647,796.496,49.78031
1706425319867,Eye Tracking,Right,Screen Position,653.1088,796.496,49.78031
1706425319881,Player,position,,-0.003983067,1.686603,0.002786609
1706425319881,Player,orientation,,358.9669,359.2149,0.5942093
1706425319881,Eye Tracking,Left,Direction,-0.06586828,0.005048407,0.9978155
1706425319881,Eye Tracking,Right,Direction,-0.1182799,0.005137037,0.992967
1706425319881,Eye Tracking,Center,Direction,-0.09210608,0.005103943,0.9957361
1706425319881,Eye Tracking,Left,Screen Position,654.3429,795.6648,49.78236
1706425319881,Eye Tracking,Right,Screen Position,653.3871,795.6648,49.78236
1706425319895,Player,position,,-0.00390332,1.686353,0.002941305
1706425319895,Player,orientation,,359.1326,359.2901,0.6170738
1706425319895,Eye Tracking,Left,Direction,-0.06288945,0.002250349,0.998018
1706425319895,Eye Tracking,Right,Direction,-0.1153313,0.002308858,0.9933245
1706425319895,Eye Tracking,Center,Direction,-0.09338221,0.008041442,0.9955978
1706425319895,Eye Tracking,Left,Screen Position,653.4174,797.7748,49.77532
1706425319895,Eye Tracking,Right,Screen Position,652.4615,797.7748,49.77532
1706425319909,Player,position,,-0.003763106,1.686098,0.003147385
1706425319909,Player,orientation,,359.2988,359.365,0.6341298
1706425319909,Eye Tracking,Left,Direction,-0.06416287,0.005184686,0.9979259
1706425319909,Eye Tracking,Right,Direction,-0.1165988,0.005245965,0.9931653
1706425319909,Eye Tracking,Center,Direction,-0.0904123,0.005226654,0.9958907
1706425319909,Eye Tracking,Left,Screen Position,655.5692,795.7523,49.79001
1706425319909,Eye Tracking,Right,Screen Position,654.6135,795.7523,49.79001
1706425319923,Player,position,,-0.00365509,1.68583,0.003344682
1706425319923,Player,orientation,,359.4576,359.4512,0.6370298
1706425319923,Eye Tracking,Left,Direction,-0.06563669,0.007977056,0.9978116
1706425319923,Eye Tracking,Right,Direction,-0.1180657,0.008028462,0.9929733
1706425319923,Eye Tracking,Center,Direction,-0.09188318,0.008015052,0.9957375
1706425319923,Eye Tracking,Left,Screen Position,654.5031,797.7551,49.78217
1706425319923,Eye Tracking,Right,Screen Position,653.5472,797.7551,49.78217
1706425319937,Player,position,,-0.003514513,1.685569,0.003567519
1706425319937,Player,orientation,,359.6174,359.5381,0.6388428
1706425319937,Eye Tracking,Left,Direction,-0.05808397,0.01550104,0.9981914
1706425319937,Eye Tracking,Right,Direction,-0.1105775,0.01547483,0.9937471
1706425319937,Eye Tracking,Center,Direction,-0.09336533,0.01081789,0.9955732
1706425319937,Eye Tracking,Left,Screen Position,653.4279,799.7689,49.77375
1706425319937,Eye Tracking,Right,Screen Position,652.4719,799.7689,49.77375
1706425319951,Player,position,,-0.003379772,1.685308,0.003766792
1706425319951,Player,orientation,,359.766,359.63,0.6401764
1706425319951,Eye Tracking,Left,Direction,-0.05965653,0.01811474,0.9980546
1706425319951,Eye Tracking,Right,Direction,-0.1121431,0.01807848,0.9935276
1706425319951,Eye Tracking,Center,Direction,-0.08592978,0.01811252,0.9961365
1706425319951,Eye Tracking,Left,Screen Position,658.8023,805.0001,49.80217
1706425319951,Eye Tracking,Right,Screen Position,657.8469,805.0001,49.80217
1706425319965,Player,position,,-0.003241813,1.685065,0.003993474
1706425319965,Player,orientation,,359.9097,359.7187,0.6300592
1706425319965,Eye Tracking,Left,Direction,-0.05806801,0.04024222,0.9975012
1706425319965,Eye Tracking,Right,Direction,-0.1105617,0.04007641,0.9930609
1706425319965,Eye Tracking,Center,Direction,-0.08745059,0.02061667,0.9959555
1706425319965,Eye Tracking,Left,Screen Position,657.6995,806.8001,49.7929
1706425319965,Eye Tracking,Right,Screen Position,656.7438,806.8001,49.7929
1706425319979,Player,position,,-0.003086567,1.684846,0.004215728
1706425319979,Player,orientation,,0.04184307,359.8051,0.6170418
1706425319979,Eye Tracking,Left,Direction,-0.05955984,0.04255065,0.9973175
1706425319979,Eye Tracking,Right,Direction,-0.1120471,0.04236254,0.9927995
1706425319979,Eye Tracking,Center,Direction,-0.08583341,0.04248085,0.9954035
1706425319979,Eye Tracking,Left,Screen Position,658.8265,822.5128,49.76538
1706425319979,Eye Tracking,Right,Screen Position,657.8704,822.5128,49.76538
1706425319993,Player,position,,-0.002926487,1.684632,0.004428711
1706425319993,Player,orientation,,0.1525281,359.8894,0.5948175
1706425319993,Eye Tracking,Left,Direction,-0.06912322,0.0396129,0.9968214
1706425319993,Eye Tracking,Right,Direction,-0.1215126,0.0393922,0.9918079
1706425319993,Eye Tracking,Center,Direction,-0.08729826,0.04438965,0.9951927
1706425319993,Eye Tracking,Left,Screen Position,657.7611,823.8905,49.75466
1706425319993,Eye Tracking,Right,Screen Position,656.8048,823.8905,49.75466
1706425320006,Player,position,,-0.002746638,1.684459,0.004659938
1706425320006,Player,orientation,,0.2628615,359.9668,0.5774388
1706425320006,Eye Tracking,Left,Direction,-0.07046539,0.0415281,0.9966494
1706425320006,Eye Tracking,Right,Direction,-0.1228482,0.04128146,0.9915665
1706425320006,Eye Tracking,Center,Direction,-0.09669047,0.04142838,0.9944519
1706425320006,Eye Tracking,Left,Screen Position,650.9622,821.7853,49.71745
1706425320006,Eye Tracking,Right,Screen Position,650.0052,821.7853,49.71744
1706425320020,Player,position,,-0.002562705,1.68427,0.004901215
1706425320020,Player,orientation,,0.3560088,0.04814486,0.5513214
1706425320020,Eye Tracking,Left,Direction,-0.07188862,0.04313309,0.9964796
1706425320020,Eye Tracking,Right,Direction,-0.1242643,0.04285377,0.9913234
1706425320020,Eye Tracking,Center,Direction,-0.09811065,0.04301757,0.9942453
1706425320020,Eye Tracking,Left,Screen Position,649.9266,822.9342,49.7069
1706425320020,Eye Tracking,Right,Screen Position,648.9694,822.9342,49.70691
1706425320034,Player,position,,-0.002365278,1.684069,0.005134283
1706425320034,Player,orientation,,0.4387504,0.1343211,0.5176635
1706425320034,Eye Tracking,Left,Direction,-0.06996637,0.04062121,0.996722
1706425320034,Eye Tracking,Right,Direction,-0.1223513,0.04034889,0.9916663
1706425320034,Eye Tracking,Center,Direction,-0.09962284,0.04441221,0.9940336
1706425320034,Eye Tracking,Left,Screen Position,648.824,823.944,49.69611
1706425320034,Eye Tracking,Right,Screen Position,647.8665,823.944,49.69611
1706425320048,Player,position,,-0.002137832,1.683892,0.005344809
1706425320048,Player,orientation,,0.5192211,0.2246578,0.4803338
1706425320048,Eye Tracking,Left,Direction,-0.07155767,0.04199126,0.9965522
1706425320048,Eye Tracking,Right,Direction,-0.1239346,0.04167688,0.9914147
1706425320048,Eye Tracking,Center,Direction,-0.09778017,0.04185782,0.9943274
1706425320048,Eye Tracking,Left,Screen Position,650.17,822.0978,49.71109
1706425320048,Eye Tracking,Right,Screen Position,649.2128,822.0978,49.71109
